valid_time,latitude,longitude,number,expver,sp,u10,v10,t2m
1940-01-01,37.79,43.31,0,0001,74323.31,-0.022367477,0.895051,263.51782
1940-01-01,37.79,43.56,0,0001,73812.31,0.26742744,0.89962864,263.18774
1940-01-01,37.79,43.81,0,0001,74148.31,0.53653145,0.81405735,263.1819
1940-01-01,37.79,44.06,0,0001,74783.81,0.7555256,0.67831516,263.19604
1940-01-01,37.79,44.31,0,0001,75699.31,0.8249836,0.7971506,263.62134
1940-01-01,37.79,44.56,0,0001,78256.31,0.8046589,0.62985325,265.93677
1940-01-01,37.79,44.81,0,0001,81557.81,0.6319294,0.4785471,268.95142
1940-01-01,37.54,43.31,0,0001,77498.31,-0.22219658,-0.03976345,265.28003
1940-01-01,37.54,43.56,0,0001,77006.81,0.0013751984,-0.09078884,264.8943
1940-01-01,37.54,43.81,0,0001,77206.31,0.13949776,-0.13345242,264.7727
1940-01-01,37.54,44.06,0,0001,77176.81,0.16592598,0.04098606,264.63745
1940-01-01,37.54,44.31,0,0001,77134.31,0.2940998,0.30813694,264.74536
1940-01-01,37.54,44.56,0,0001,77504.31,0.73861885,0.5251169,265.23755
1940-01-01,37.54,44.81,0,0001,80169.81,0.80600166,0.5263376,267.6267
1940-01-01,37.29,43.31,0,0001,83608.81,-0.5583172,-0.6907034,267.6858
1940-01-01,37.29,43.56,0,0001,83036.31,-0.32931328,-0.80453396,267.13696
1940-01-01,37.29,43.81,0,0001,82880.31,-0.2364788,-0.85293484,266.86743
1940-01-01,37.29,44.06,0,0001,82492.31,-0.26046562,-0.7284231,266.44702
1940-01-01,37.29,44.31,0,0001,80776.81,-0.2969036,-0.47762966,266.21704
1940-01-01,37.29,44.56,0,0001,79633.31,0.076631546,-0.060271263,266.16772
1940-01-01,37.29,44.81,0,0001,79224.81,0.75302315,0.40670872,266.1892
1940-01-01,37.04,43.31,0,0001,88488.81,-0.7651043,-0.78335476,271.48657
1940-01-01,37.04,43.56,0,0001,87838.31,-0.49258232,-1.0428762,270.115
1940-01-01,37.04,43.81,0,0001,87712.81,-0.37490654,-1.1269217,269.64087
1940-01-01,37.04,44.06,0,0001,87941.81,-0.41158867,-1.0730886,269.80884
1940-01-01,37.04,44.31,0,0001,87154.31,-0.55203056,-0.8548269,270.0432
1940-01-01,37.04,44.56,0,0001,83886.81,-0.36532402,-0.35281277,268.63647
1940-01-01,37.04,44.81,0,0001,81268.31,0.28311348,0.13589573,267.24146
1940-01-01,36.79,43.31,0,0001,93741.81,-0.9759197,-0.8360281,276.23413
1940-01-01,36.79,43.56,0,0001,93045.81,-0.7199383,-1.1143484,274.9768
1940-01-01,36.79,43.81,0,0001,92573.81,-0.56399345,-1.1643362,274.5432
1940-01-01,36.79,44.06,0,0001,92296.31,-0.5534344,-0.97067165,274.44653
1940-01-01,36.79,44.31,0,0001,90655.81,-0.7699261,-0.5191946,273.56274
1940-01-01,36.79,44.56,0,0001,86807.81,-0.72854424,-0.108366966,270.98413
1940-01-01,36.79,44.81,0,0001,82472.31,-0.1314373,0.22702122,268.3235
