valid_time,latitude,longitude,number,expver,sp,u10,v10,t2m,tp,lat,lon,Aykırı_Sütun
1940-05-01,37.79,44.31,0,1,762.8744,1.2784612,1.2741976,7.782370000000014,0.8704170999999999,37.79,44.31,u10
1940-05-01,37.54,44.56,0,1,780.0894000000001,1.2704351,1.1822176,8.990380000000016,1.0002658,37.54,44.56,u10
1940-05-01,37.29,44.81,0,1,796.4594000000001,1.3938482,1.080472,10.542630000000031,0.9662017700000001,37.29,44.81,u10
1940-12-01,37.79,44.31,0,1,761.32,1.3421965,1.2830715,-5.567479999999989,1.6628194,37.79,44.31,u10
1940-12-01,37.79,44.56,0,1,786.54,1.3705778,1.0233059,-3.1841799999999694,1.2350965,37.79,44.56,u10
1940-12-01,37.79,44.81,0,1,819.09,1.2618132,0.8872585,-0.5450199999999654,0.5834984999999999,37.79,44.81,u10
1940-12-01,37.54,44.56,0,1,779.27,1.2691984,1.049551,-4.149999999999977,2.6397395,37.54,44.56,u10
1940-12-01,37.54,44.81,0,1,805.505,1.3871183,1.1089993,-2.0992200000000025,1.5583921,37.54,44.81,u10
1940-12-01,37.29,44.81,0,1,796.36,1.4108,1.0050564,-2.981049999999982,3.7197757,37.29,44.81,u10
1941-01-01,37.79,44.31,0,1,759.3725,1.3346119,1.216732,-7.374369999999999,3.2149623000000003,37.79,44.31,u10
1941-01-01,37.79,44.56,0,1,784.6825,1.3394947,1.0165977,-5.495199999999954,2.5664638,37.79,44.56,u10
1941-01-01,37.54,44.81,0,1,803.7475,1.3046436,1.1048546,-4.275239999999997,3.2900642,37.54,44.81,u10
1941-01-01,37.29,44.81,0,1,794.5375,1.355608,0.96868515,-5.093599999999981,6.176836300000001,37.29,44.81,u10
1941-02-01,37.79,44.31,0,1,761.0394,1.3373432,1.07461,-4.910739999999976,1.3491355,37.79,44.31,u10
1941-02-01,37.79,44.56,0,1,786.1444,1.3565083,0.9513189,-3.3223600000000033,0.9483539,37.79,44.56,u10
1941-02-01,37.54,44.56,0,1,778.8644,1.2598896,1.0088751,-3.303799999999967,1.6642652999999998,37.54,44.56,u10
1941-02-01,37.54,44.81,0,1,805.0044,1.3539448,1.0778449,-1.5786999999999694,0.9565197400000001,37.54,44.81,u10
1941-02-01,37.29,44.81,0,1,795.8494000000001,1.4315205,0.9856817,-2.0469699999999875,1.6566955,37.29,44.81,u10
1941-05-01,37.79,44.31,0,1,764.13,1.390595,1.0894513,10.101220000000012,0.5221225,37.79,44.31,u10
1941-05-01,37.79,44.56,0,1,788.17,1.2585759,0.9441877,12.347800000000007,0.7927127,37.79,44.56,u10
1941-05-01,37.54,44.56,0,1,781.105,1.3291326,1.0357709,11.608540000000005,0.40975282999999996,37.54,44.56,u10
1941-05-01,37.54,44.81,0,1,806.115,1.2628484,0.94199044,14.151030000000048,0.513599,37.54,44.81,u10
1941-05-01,37.29,44.81,0,1,797.265,1.3684697,1.0357709,13.606100000000026,0.3733195,37.29,44.81,u10
1941-07-01,36.29,43.31,0,1,965.65375,1.8343593,0.3697759,34.22720000000004,0.0,36.29,43.31,u10
1941-07-01,36.29,43.56,0,1,965.25375,1.4485561,0.47329152,33.981100000000026,0.0,36.29,43.56,u10
1941-09-01,36.29,43.31,0,1,972.0144,1.3947706,-0.3882376,28.839,0.07888529,36.29,43.31,u10
1941-12-01,36.29,43.81,0,1,973.3975,-1.4717846,-0.42667484,7.06143000000003,5.064731,36.29,43.81,u10
1941-12-01,36.29,44.06,0,1,952.7525,-1.5809155,0.0027685165,6.317769999999996,5.870109,36.29,44.06,u10
1942-01-01,37.79,44.31,0,1,756.305,1.2869825,1.3351221,-9.75351999999998,3.73319,37.79,44.31,u10
1942-01-01,37.79,44.56,0,1,781.79,1.3965406,1.0782251,-8.890479999999968,3.0074439,37.79,44.56,u10
1942-01-01,37.79,44.81,0,1,814.725,1.2589674,0.8782129,-7.375599999999963,1.8838963,37.79,44.81,u10
1942-01-01,37.54,44.56,0,1,774.445,1.2755079,1.1716089,-8.451499999999953,5.3637344,37.54,44.56,u10
1942-01-01,37.54,44.81,0,1,800.99,1.37115,1.149209,-7.516459999999995,3.8109145,37.54,44.81,u10
1942-01-01,37.29,44.81,0,1,791.725,1.3883009,1.001565,-7.420999999999992,6.0828050000000005,37.29,44.81,u10
1942-01-01,36.29,44.06,0,1,951.86,-1.4566088,0.49460697,4.099270000000047,3.1813702,36.29,44.06,u10
1942-02-01,36.29,43.81,0,1,971.5181,-1.4668818,-0.76751995,9.881979999999999,3.4211562,36.29,43.81,u10
1942-02-01,36.29,44.06,0,1,951.1781,-1.6229486,-0.41113567,9.192769999999996,3.9093182000000004,36.29,44.06,u10
1942-07-01,36.29,43.31,0,1,963.30125,1.6588612,0.101771474,34.587800000000016,0.0,36.29,43.31,u10
1942-07-01,36.29,43.56,0,1,962.87625,1.287035,0.104273915,34.39590000000004,0.0003054738,36.29,43.56,u10
1942-08-01,36.29,43.31,0,1,967.56,1.459908,0.39707267,32.76650000000001,0.00060962844,36.29,43.31,u10
1944-02-01,37.79,44.31,0,1,757.58125,1.346544,0.9803457,-8.276459999999986,1.2873603999999998,37.79,44.31,u10
1944-02-01,37.79,44.56,0,1,782.95125,1.447191,0.84496975,-7.44199999999995,0.94719674,37.79,44.56,u10
